sim_idx,mpi_era,activity,institution_ID,source_ID,Resolution,experiment_ID,member_ID,table ID,variable,grid_label,version,data_node/0,data_node,url,number_of_files,date_start,date_stop,start_count,year_step,size,grid,nominal_resolution
0,CMIP6,HighResMIP,AWI,AWI-CM-1-1-HR,HR,hist-1950,r1i1p1f2,Omon,zos,gn,v20170825,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,6,195101,201012,1,10,4279477953,FESOM 1.4 (unstructured grid in the horizontal with 1306775 wet nodes; 46 levels; top grid cell 0-5 m),25 km
1,CMIP6,HighResMIP,AWI,AWI-CM-1-1-LR,LR,hist-1950,r1i1p1f2,Omon,zos,gn,v20170825,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,6,195101,201012,1,10,430579620,FESOM 1.4 (unstructured grid in the horizontal with 126859 wet nodes; 46 levels; top grid cell 0-5 m),50 km
2,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,MR,historical,r1i1p1f1,Omon,zos,gn,v20181218,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,18,185001,201412,1,10,7815265174,FESOM 1.4 (unstructured grid in the horizontal with 830305 wet nodes; 46 levels; top grid cell 0-5 m),25 km
3,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,MR,historical,r2i1p1f1,Omon,zos,gn,v20181218,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,18,185001,201412,1,10,7817376862,FESOM 1.4 (unstructured grid in the horizontal with 830305 wet nodes; 46 levels; top grid cell 0-5 m),25 km
4,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,MR,historical,r3i1p1f1,Omon,zos,gn,v20181218,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,18,185001,201412,1,10,7815872876,FESOM 1.4 (unstructured grid in the horizontal with 830305 wet nodes; 46 levels; top grid cell 0-5 m),25 km
5,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,MR,historical,r4i1p1f1,Omon,zos,gn,v20181218,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,18,185001,201412,1,10,7814942608,FESOM 1.4 (unstructured grid in the horizontal with 830305 wet nodes; 46 levels; top grid cell 0-5 m),25 km
6,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,MR,historical,r5i1p1f1,Omon,zos,gn,v20181218,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,18,185001,201412,1,10,7814732643,FESOM 1.4 (unstructured grid in the horizontal with 830305 wet nodes; 46 levels; top grid cell 0-5 m),25 km
7,CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,LR,historical,r1i1p1f1,Omon,zos,gn,v20200212,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,18,185001,201412,1,10,1217553918,FESOM 1.4 (unstructured grid in the horizontal with 126859 wet nodes; 46 levels; top grid cell 0-5 m),50 km
8,CMIP6,HighResMIP,NCAR,CESM1-CAM5-SE-HR,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20200810,esgf-data.ucar.edu,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/,1,195001,201412,0,65,11410372553,native gx1v7 displaced pole grid (2400x3600 latxlon),25 km
9,CMIP6,HighResMIP,CMCC,CMCC-CM2-VHR4,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20180705,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3729451844,ORCA0.25 1/4 deg from the Equator degrading at the poles; 1442 x 1051 longitude/latitude; 50 vertical levels; top grid cell 0-1 m,25 km
10,CMIP6,HighResMIP,CMCC,CMCC-CM2-HR4,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20190105,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3727416545,ORCA0.25 1/4 deg from the Equator degrading at the poles; 1442 x 1051 longitude/latitude; 50 vertical levels; top grid cell 0-1 m,25 km
11,CMIP6,CMIP,CMCC,CMCC-CM2-HR4,HR,historical,r1i1p1f1,Omon,zos,gn,v20200904,esgf-node2.cmcc.it,esgf-node2.cmcc.it,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/,7,185001,201412,0,25,5324810687,native ocean curvilinear grid,25 km
12,CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1,LR,hist-1950,r1i1p1f2,Omon,zos,gn,v20190401,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,7,195001,201412,0,10,219116856,native ocean tri-polar grid with 105 k ocean cells,100 km
13,CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1-HR,HR,hist-1950,r1i1p1f2,Omon,zos,gn,v20190221,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,7,195001,201412,0,10,2941721867,native ocean tri-polar grid with 1.47 M ocean cells,25 km
14,CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1-HR,HR,hist-1950,r2i1p1f2,Omon,zos,gn,v20200615,esg1.umr-cnrm.fr,esg1.umr-cnrm.fr,http://esg1.umr-cnrm.fr/thredds/fileServer/,7,195001,201412,0,10,2941416039,native ocean tri-polar grid with 1.47 M ocean cells,25 km
15,CMIP6,HighResMIP,CNRM-CERFACS,CNRM-CM6-1-HR,HR,hist-1950,r3i1p1f2,Omon,zos,gn,v20200615,esg1.umr-cnrm.fr,esg1.umr-cnrm.fr,http://esg1.umr-cnrm.fr/thredds/fileServer/,7,195001,201412,0,10,2943089467,native ocean tri-polar grid with 1.47 M ocean cells,25 km
16,CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,HR,historical,r1i1p1f2,Omon,zos,gn,v20191021,esg1.umr-cnrm.fr,esg1.umr-cnrm.fr,http://esg1.umr-cnrm.fr/thredds/fileServer/,1,185001,201412,0,165,5165821823,native ocean tri-polar grid with 1.47 M ocean cells,25 km
